Gene	A_1	A_2	A_3	A_4	A_5	B_1	B_2	B_3	B_4	B_5
RCAN1	3644	3342	2274	4636	2592	5626	5672	5987	4980	3428
RCAN2	864	778	542	1040	617	19365	20187	21371	16809	11634
RCAN3	455	351	238	448	359	961	919	960	765	454
RCBTB1	2608	2156	1554	3088	2001	3796	4006	4169	3195	2359
RCBTB2	3246	2579	1892	3954	2347	1016	1108	1151	904	629
RCC1	8903	9174	5641	11391	6213	474	487	471	428	229
RCC2	19959	20275	12568	24206	14934	3498	4025	3672	3148	1876
RCCD1	3093	2759	1768	3911	2446	984	987	1055	872	526
RCE1	1372	1613	1015	1911	1207	770	835	863	670	437
RCHY1	1725	1422	1054	1995	1230	2566	2662	2802	2157	1586
RCL1	1793	1734	1028	2276	1256	436	479	502	380	207
RCN1	14125	11263	8026	16734	9762	3538	3589	3635	3086	2266
RCN2	7754	6016	4326	9298	5449	5171	5159	5568	4395	3289
RCN3	230	342	207	356	472	273	294	276	222	226
RCOR1	5457	4483	3055	6261	3784	1818	1775	1936	1550	1004
RCOR2	1337	1584	966	1700	1253	805	812	795	677	452
RCOR3	2461	2076	1418	2962	1914	3560	3601	3695	3013	2089
RCSD1	1543	1427	985	1896	1215	484	521	500	408	271
RCVRN	6	3	1	8	2	102	107	121	107	44
RD3	28	30	9	28	14	13	6	7	5	4
RDBP	6906	6791	4705	9155	5014	2600	2691	2784	2371	1429
RDH10	1265	1137	797	1604	1012	417	416	456	358	274
RDH11	9202	7874	5370	11339	6261	7065	7429	7402	6460	4261
RDH12	11	14	14	25	15	139	171	139	119	70
RDH13	782	974	575	1071	739	611	583	589	568	330
RDH14	44	46	25	39	146	36	58	23	37	97
RDH16	74	72	47	105	56	37	49	48	41	27
RDH5	24	12	18	15	21	10	9	21	13	17
RDH8	2	0	1	1	0	0	0	0	0	0
RDM1	202	174	109	227	119	7	11	12	5	3
RDX	11799	9374	6625	13743	9343	6299	6308	6531	5422	4123
REC8	385	352	241	458	291	1621	1683	1651	1318	941
RECK	878	758	474	1102	654	952	966	1005	769	524
RECQL	3428	2840	1968	3908	2793	748	763	812	568	436
RECQL4	2124	3168	2104	3198	4570	538	572	552	503	517
RECQL5	2443	2629	1617	3086	2155	1600	1830	1810	1464	988
REEP1	400	301	223	511	247	4801	4784	5240	4141	2980
REEP2	626	738	495	888	611	11633	12247	12279	10469	6572
REEP3	3104	2492	1733	3597	2179	4539	4626	4841	4030	2799
REEP4	2065	2210	1463	2723	2373	283	270	248	207	213
REEP5	6964	5839	4068	8422	4623	22901	23279	25142	19629	14389
REEP6	753	924	603	1056	1226	526	495	563	510	431
REG1A	0	1	1	0	0	0	0	0	0	1
REG1B	0	0	0	0	0	2	0	0	0	0
REG1P	0	0	0	0	0	2	0	0	1	0
REG3A	0	0	0	0	0	0	0	0	1	0
REG3G	7	4	3	6	2	0	0	0	0	0
REG4	30	25	20	52	16	3	3	0	0	0
REL	328	262	197	324	194	321	334	294	249	117
RELA	4723	5038	3145	6016	4720	2677	2851	2790	2351	1671
RELB	413	434	282	625	587	165	191	179	133	123
RELL1	1475	1302	888	1935	1091	1191	1281	1258	1127	755
RELL2	136	235	122	169	378	843	957	927	775	928
RELN	5221	4732	3117	5668	4246	28765	29850	30016	23799	16412
RELT	1066	1387	878	1468	1324	951	1031	978	857	669
REM1	18	19	12	9	7	37	17	12	21	22
REM2	42	34	34	50	43	108	141	104	138	97
REN	131	108	78	152	70	1	3	4	3	0
RENBP	401	455	320	505	338	417	504	443	429	261
REP15	74	52	32	84	47	51	28	30	24	18
REPIN1	5768	6263	4320	7907	8505	3913	4037	4171	3533	3450
REPS1	3231	2742	1967	3920	2410	3498	3581	3657	2971	2066
REPS2	768	653	452	858	547	9579	9757	10063	8364	5742
RER1	6384	5832	3911	7688	5024	4326	4691	4723	3841	2836
RERE	5220	5062	3444	6242	5194	14554	15022	15084	12761	9623
REREP3	7	5	5	8	7	14	8	5	6	4
RERG	189	139	105	214	142	702	645	716	584	412
RERGL	42	39	25	34	25	245	242	223	203	132
